


































































































Title,Source
বিশ্বজুড়ে ইসরায়েলি দূতাবাসে হামলার হুমকি ইরানের,বিশ্ব
"ঢাকা বিভাগে ৮ মাসে এসেছে সর্বোচ্চ রেমিট্যান্স, সর্বনিম্ন কোন বিভাগ?",বাণিজ্য
ফেব্রুয়ারিতে সর্বাধিক রেমিট্যান্স এসেছে যেসব দেশ থেকে,বাণিজ্য
সোনার ভরি কত টাকা আজ?,বাণিজ্য
"যুক্তরাষ্ট্রকে বন্দর ব্যবহারের সুযোগ দেওয়ার অভিযোগ, অস্বীকার ভারতের",বিশ্ব
মার্চের ৩ দিনে রেমিট্যান্স এসেছে ৫৭ কোটি ডলার,বাণিজ্য
"ঈদের ছুটি হতে পারে টানা ৭ দিন, শুরু যেদিন",জাতীয়
চাঁপাইনবাবগঞ্জে নির্মাণাধীন বাড়িতে ককটেল বিস্ফোরণ,সারাবাংলা
ঈদযাত্রা : আধাঘণ্টায় ট্রেনের ১১ হাজার অগ্রিম টিকিট বিক্রি,জাতীয়
রামুতে টিকটকার স্ত্রীর হাতে স্বামী খুন,সারাবাংলা
২৪ ঘণ্টায় আরব উপসাগরে ৫ জাহাজে হামলা,বিশ্ব
দেশে প্রথম নম্বরলেস ডেবিট কার্ড চালু,বিশেষ আয়োজন
দেশে সক্রিয় ২৮ লাখ ৮৬ হাজার কার্ড,বিশেষ আয়োজন
এসবিএসি ব্যাংকের ক্রেডিট কার্ড গ্রাহকবান্ধব,বিশেষ আয়োজন
গ্রাহকের চাহিদা অনুযায়ী সেবা দিচ্ছে কমিউনিটি ব্যাংক,বিশেষ আয়োজন
রোজা ও ঈদ উপলক্ষে প্রিমিয়ার ব্যাংক দিচ্ছে ক্যাশব্যাকসহ নানা অফার,বিশেষ আয়োজন
গ্রাহকের আয় ও জীবনযাত্রার সঙ্গে সামঞ্জস্যপূর্ণ সেবা দিচ্ছি,বিশেষ আয়োজন
শরিয়াহসম্মত সেবা দিতে চালু হয় খিদমাহ ক্রেডিট কার্ড,বিশেষ আয়োজন
গ্রাহককে আধুনিক পেমেন্ট সলিউশন প্রদানে সচেষ্ট থাকি,বিশেষ আয়োজন
নভেম্বরে লেনদেন বেড়েছে,বিশেষ আয়োজন
রমজান ও ঈদে আইএফআইসি কার্ডের স্পেশাল অফার,বিশেষ আয়োজন
"কেনাকাটা, খাওয়া ও ভ্রমণে সিটি ক্রেডিট কার্ডে বিশেষ অফার",বিশেষ আয়োজন
খরচ বাঁচানোর নানা উপায়,বিশেষ আয়োজন
দেশভিত্তিক এগিয়ে যুক্তরাষ্ট্র,বিশেষ আয়োজন
বাজারে শীর্ষে সিটি ব্যাংক,বিশেষ আয়োজন
বাজারে ভিসার আধিপত্য,বিশেষ আয়োজন
